2019/9/27 12:00:34	初始化完毕,可以进行操作
2019/9/27 星期五 下午 1:43:39	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:43:39	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:45:47	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:45:47	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:45:47	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:45:48	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:45:48	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:45:48	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:47:19	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:47:19	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:47:19	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:47:19	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 1:47:37	[自动登录]登录成功

2019/9/27 星期五 下午 1:47:37	[普通]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:47:37	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:47:37	[任务2]申请订单成功,开始获取令牌...

2019/9/27 星期五 下午 1:47:37	[任务3]令牌获取完成,开始效验订单...

2019/9/27 星期五 下午 1:47:38	[任务4]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:47:38	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:47:38	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:49:33	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:49:33	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:49:33	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:49:33	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:49:33	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:49:33	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:58:29	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 1:58:40	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 2:08:29	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 2:08:41	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 2:18:31	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 2:19:07	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 2:28:29	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 2:29:03	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 2:38:31	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 2:38:39	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 2:48:29	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 2:58:27	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 3:28:29	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 3:29:02	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 4:08:33	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 4:13:26	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 4:18:30	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 4:18:43	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 4:28:30	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 4:30:38	[检查状态]检测到下线,已成功登录

2019/9/27 星期五 下午 6:38:34	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/27 星期五 下午 7:59:39	开始预订K45车次的车票...

2019/9/27 星期五 下午 7:59:39	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 7:59:39	[任务1]算法解析完成,开始申请订单...

